991,322.91
995,281.41
995,281.41
996,271.08
996,271.08
995,281.41
995,281.41
985,385.79
0,-1
0,-1
0,-1
0,-1
598,7107.02
972,524.69
982,417.52
983,406.92
989,343.78
990,333.33
990,333.33
991,322.91
990,333.33
992,312.5
991,322.91
990,333.33
874,1704.8
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
929,1011.84
974,503.08
971,535.53
691,4804.63
0,-1
0,-1
0,-1
0,-1
948,791.14
974,503.08
975,492.31
0,-1
0,-1
0,-1
0,-1
953,734.52
976,481.56
977,470.83
0,-1
0,-1
0,-1
0,-1
973,513.87
992,312.5
993,302.11
992,312.5
992,312.5
993,302.11
993,302.11
994,291.75
996,271.08
997,260.78
997,260.78
997,260.78
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
668,5314.37
973,513.87
973,513.87
0,-1
962,634.1
980,438.77
0,-1
979,449.44
985,385.79
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
492,10792.68
970,546.39
987,364.74
970,546.39
0,-1
0,-1
0,-1
0,-1
948,791.14
974,503.08
958,678.5
0,-1
0,-1
0,-1
880,1625
964,612.03
974,503.08
979,449.44
966,590.06
0,-1
0,-1
665,5383.46
929,1011.84
0,-1
0,-1
0,-1
565,8106.19
0,-1
0,-1
894,1442.95
961,645.16
970,546.39
0,-1
0,-1
0,-1
917,1155.94
604,6937.09
46,212391.31
0,-1
603,6965.17
959,667.36
959,667.36
0,-1
955,712.04
973,513.87
900,1366.67
0,-1
943,848.36
0,-1
0,-1
905,1303.87
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
384,16640.63
0,-1
0,-1
737,3880.6
0,-1
0,-1
0,-1
0,-1
833,2280.91
0,-1
515,9864.08
959,667.36
980,438.77
950,768.42
0,-1
0,-1
828,2355.07
839,2193.09
0,-1
0,-1
811,2614.06
88,106250
0,-1
933,964.63
958,678.5
0,-1
0,-1
948,791.14
958,678.5
0,-1
0,-1
939,894.57
0,-1
0,-1
806,2692.31
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
727,4071.53
879,1638.23
876,1678.08
0,-1
0,-1
832,2295.67
808,2660.89
0,-1
0,-1
861,1881.53
898,1391.98
911,1229.42
0,-1
0,-1
622,6446.95
875,1691.43
917,1155.94
903,1328.9
891,1481.48
632,6186.71
406,15197.04
538,9014.87
433,13625.87
534,9157.3
846,2092.2
842,2149.64
420,14357.14
0,-1
126,71190.47
468,11858.98
861,1881.53
865,1826.59
573,7853.4
337,20356.08
701,4593.44
916,1168.12
880,1625
736,3899.46
557,8366.25
630,6238.1
932,976.39
935,941.18
644,5885.09
147,59591.84
712,4367.98
938,906.18
945,825.4
763,3407.6
0,-1
0,-1
807,2676.58
898,1391.98
891,1481.48
847,2077.92
812,2598.52
811,2614.06
847,2077.92
855,1964.91
889,1507.31
771,3268.48
738,3861.79
0,-1
641,5959.44
920,1119.56
926,1047.52
927,1035.6
933,964.63
935,941.18
935,941.18
687,4890.83
0,-1
0,-1
930,1000
936,929.49
938,906.18
932,976.39
932,976.39
878,1651.48
0,-1
0,-1
853,1992.97
913,1204.82
914,1192.56
909,1254.13
871,1745.12
741,3805.67
484,11136.37
402,15447.76
530,9301.89
640,5984.37
968,568.18
967,579.11
866,1812.93
188,44414.89
228,34868.42
290,25275.86
682,5000
960,656.25
974,503.08
968,568.18
905,1303.87
803,2739.73
527,9411.77
772,3251.3
943,848.36
975,492.31
945,825.4
780,3115.38
459,12287.58
156,55576.92
663,5429.86
941,871.41
951,757.1
83,113253.01
126,71190.47
189,44126.98
204,40147.05
894,1442.95
962,634.1
0,-1
861,1881.53
980,438.77
982,417.52
820,2475.61
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
